OID,GEOID10,Census Tract,Block Group,Block Group Name,Tract and Block Group,Gross Land Acres,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Population Change 2000-2010,Percent Population Change 2000-2010,Population Change 2010-2017,Percent Population Change 2010-2017,2017 Population Density,2010 to 2017 Population Change,2010 to 2017 Percent Population Change,2010 Population Density
1,5.3033E+11,112,1,Block Group 1,11200.1,291.9055866,1407,1408.343,1410.138,1423.965,1440.163,1462.637,1489.16,1501.011,168.95,13.65%,94.011,6.68%,5.140410959,94,6.7,4.818493151
2,5.3033E+11,104.02,1,Block Group 1,10402.1,168.5293293,1191,1200.299,1211.873,1243.132,1254.251,1291.191,1318.355,1354.853,-6.047,-0.51%,163.853,13.76%,8.017751479,164,13.8,7.047337278
3,5.3033E+11,102,4,Block Group 4,10200.4,98.65113994,1192,1190.953,1193.672,1195.681,1204.326,1219.174,1236.413,1264.012,99.959,9.15%,72.012,6.04%,12.76767677,72,6,12.04040404
4,5.3033E+11,102,2,Block Group 2,10200.2,355.3410279,999,988.827,992.086,991.649,1000.82,1019.421,1036.292,1056.603,-56.04,-5.31%,57.603,5.77%,2.977464789,58,5.8,2.814084507
5,5.3033E+11,119,1,Block Group 1,11900.1,137.4972276,1322,1323.137,1324.18,1333.303,1347.959,1375.314,1403.767,1421.988,-8.052,-0.61%,99.988,7.56%,10.37956204,100,7.6,9.649635036
6,5.3033E+11,120,2,Block Group 2,12000.2,125.7057197,1175,1175.603,1177.237,1170.051,1178.084,1188.122,1205.317,1234.609,8.953,0.77%,59.609,5.07%,9.801587302,60,5.1,9.325396825
7,5.3033E+11,116,3,Block Group 3,11600.3,136.8190371,1242,1240.957,1243.463,1249.645,1262.567,1275.124,1297.539,1253.477,62.953,5.34%,11.477,0.92%,9.145985401,11,0.9,9.065693431
8,5.3033E+11,114.01,3,Block Group 3,11401.3,123.6987298,1454,1453.032,1460.31,1466.586,1482.681,1519.366,1547.236,1542.075,-27.058,-1.83%,88.075,6.06%,12.43548387,88,6.1,11.72580645
9,5.3033E+11,116,1,Block Group 1,11600.1,109.9557169,1203,1200.365,1206.448,1209.309,1227.556,1249.032,1278.711,1309.904,69.955,6.17%,106.904,8.89%,11.90909091,107,8.9,10.93636364
10,5.3033E+11,97.02,5,Block Group 5,9702.5,175.1831359,1155,1155.604,1155.439,1169.518,1182.72,1192.182,1233.001,1268.769,45.956,4.14%,113.769,9.85%,7.251428571,114,9.9,6.6
11,5.3033E+11,97.01,1,Block Group 1,9701.1,119.0847781,1650,1648.456,1666.371,1691.451,1710.048,1742.878,1774.174,1827.403,71.934,4.56%,177.403,10.75%,15.35294118,177,10.8,13.86554622
12,5.3033E+11,7,2,Block Group 2,700.2,107.9937002,1136,1135.07,1135.921,1142.147,1151.871,1167.671,1190.255,1219.623,33.956,3.08%,83.623,7.36%,11.2962963,84,7.4,10.51851852
13,5.3033E+11,6,5,Block Group 5,600.5,139.0368079,803,806.634,807.354,815.177,823.127,834.562,848.049,860.578,-16.033,-1.96%,57.578,7.17%,6.194244604,58,7.2,5.776978417
14,5.3033E+11,1,5,Block Group 5,100.5,56.96075559,942,940.874,941.345,947.084,955.918,1011.447,1038.299,1071.831,669.984,246.30%,129.831,13.78%,18.80701754,130,13.8,16.52631579
15,5.3033E+11,2,3,Block Group 3,200.3,244.1285025,1509,1507.513,1607.84,1643.375,1656.38,1677.046,1715.917,1763.119,-7.069,-0.47%,254.119,16.84%,7.225409836,254,16.8,6.18442623
16,5.3033E+11,27,2,Block Group 2,2700.2,123.0841787,1340,1340.647,1341.735,1348.837,1364.252,1391.225,1416.993,1449.282,15.949,1.21%,109.282,8.15%,11.7804878,109,8.2,10.89430894
